I0,I1,I2,I3,I4
1045723.000000,32232.000000,0.000000,0.000000,0.000000
1045733.000000,32232.000000,0.000000,0.000000,0.000000
1045743.000000,32232.000000,0.000000,0.000000,0.000000
1045753.000000,32232.000000,0.000000,0.000000,0.000000
1045763.000000,32232.000000,0.000000,0.000000,0.000000
1045773.000000,32232.000000,0.000000,0.000000,0.000000
1045783.000000,32232.000000,0.000000,0.000000,0.000000
1045793.000000,32232.000000,0.000000,0.000000,0.000000
1045803.000000,32232.000000,0.000000,0.000000,0.000000
1045813.000000,32232.000000,0.000000,0.000000,0.000000
1045823.000000,32232.000000,0.000000,0.000000,0.000000
1045833.000000,32232.000000,0.000000,0.000000,0.000000
1045843.000000,32232.000000,0.000000,0.000000,0.000000
1045853.000000,32232.000000,0.000000,0.000000,0.000000
1045863.000000,32232.000000,0.000000,0.000000,0.000000
1045873.000000,32232.000000,0.000000,0.000000,0.000000
1045883.000000,32232.000000,0.000000,0.000000,0.000000
1045893.000000,32232.000000,0.000000,0.000000,0.000000
1045903.000000,32232.000000,0.000000,0.000000,0.000000
1045913.000000,32232.000000,0.000000,0.000000,0.000000
1045923.000000,32232.000000,0.000000,0.000000,0.000000
1045933.000000,32232.000000,0.000000,0.000000,0.000000
1045943.000000,32232.000000,0.000000,0.000000,0.000000
1045953.000000,32232.000000,0.000000,0.000000,0.000000
1045963.000000,32232.000000,0.000000,0.000000,0.000000
1045973.000000,32232.000000,0.000000,0.000000,0.000000
1045983.000000,32232.000000,0.000000,0.000000,0.000000
1045993.000000,32232.000000,0.000000,0.000000,0.000000
1046003.000000,32232.000000,0.000000,0.000000,0.000000
1046013.000000,32232.000000,0.000000,0.000000,0.000000
1046023.000000,32232.000000,0.000000,0.000000,0.000000
1046033.000000,32232.000000,0.000000,0.000000,0.000000
1046043.000000,32232.000000,0.000000,0.000000,0.000000
1046053.000000,32232.000000,0.000000,0.000000,0.000000
1046063.000000,32232.000000,0.000000,0.000000,0.000000
1046073.000000,32232.000000,0.000000,0.000000,0.000000
1046083.000000,32232.000000,0.000000,0.000000,0.000000
1046093.000000,32232.000000,0.000000,0.000000,0.000000
1046103.000000,32232.000000,0.000000,0.000000,0.000000
1046113.000000,32232.000000,0.000000,0.000000,0.000000
1046123.000000,32232.000000,0.000000,0.000000,0.000000
1046133.000000,32232.000000,0.000000,0.000000,0.000000
1046143.000000,32232.000000,0.000000,0.000000,0.000000
1046153.000000,32232.000000,0.000000,0.000000,0.000000
1046163.000000,32232.000000,0.000000,0.000000,0.000000
1046173.000000,32232.000000,0.000000,0.000000,0.000000
1046183.000000,32232.000000,0.000000,0.000000,0.000000
1046193.000000,32232.000000,0.000000,0.000000,0.000000
1046203.000000,32232.000000,0.000000,0.000000,0.000000
1046213.000000,32232.000000,0.000000,0.000000,0.000000
1046223.000000,32232.000000,0.000000,0.000000,0.000000
1046233.000000,32232.000000,0.000000,0.000000,0.000000
1046243.000000,32232.000000,0.000000,0.000000,0.000000
1046253.000000,32232.000000,0.000000,0.000000,0.000000
1046263.000000,32232.000000,0.000000,0.000000,0.000000
1046273.000000,32232.000000,0.000000,0.000000,0.000000
1046283.000000,32232.000000,0.000000,0.000000,0.000000
1046293.000000,32232.000000,0.000000,0.000000,0.000000
1046303.000000,32232.000000,0.000000,0.000000,0.000000
1046313.000000,32232.000000,0.000000,0.000000,0.000000
1046323.000000,32232.000000,0.000000,0.000000,0.000000
1046333.000000,32232.000000,0.000000,0.000000,0.000000
1046343.000000,32232.000000,0.000000,0.000000,0.000000
1046353.000000,32232.000000,0.000000,0.000000,0.000000
1046363.000000,32232.000000,0.000000,0.000000,0.000000
1046373.000000,32232.000000,0.000000,0.000000,0.000000
1046383.000000,32232.000000,0.000000,0.000000,0.000000
1046393.000000,32232.000000,0.000000,0.000000,0.000000
1046403.000000,32232.000000,0.000000,0.000000,0.000000
1046413.000000,32232.000000,0.000000,0.000000,0.000000
1046423.000000,32232.000000,0.000000,0.000000,0.000000
1046433.000000,32232.000000,0.000000,0.000000,0.000000
1046443.000000,32232.000000,0.000000,0.000000,0.000000
1046453.000000,32232.000000,0.000000,0.000000,0.000000
1046463.000000,32232.000000,0.000000,0.000000,0.000000
1046473.000000,32232.000000,0.000000,0.000000,0.000000
1046483.000000,32232.000000,0.000000,0.000000,0.000000
1046493.000000,32232.000000,0.000000,0.000000,0.000000
1046503.000000,32232.000000,0.000000,0.000000,0.000000
1046513.000000,32232.000000,0.000000,0.000000,0.000000
