I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
90700.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90710.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90720.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90730.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90740.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90750.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90760.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90770.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90780.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90790.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90800.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90810.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90820.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90830.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90840.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90850.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90860.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90870.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90880.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90890.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90900.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90910.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90920.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90930.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90940.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90950.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90960.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90970.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90980.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90990.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91000.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91010.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91020.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91030.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91040.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91050.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91060.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91070.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91080.000000,35988.000000,0.000000,167060.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
