I0,I1,I2,I3,I4,I5,I6
77450.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77460.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77470.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77480.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77490.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77500.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77510.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77520.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77530.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77540.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77550.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77560.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77570.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77580.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77590.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77600.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77610.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77620.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77630.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77640.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77650.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77660.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77670.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77680.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77690.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77700.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77710.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77720.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77730.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77740.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77750.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77760.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77770.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77780.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
77790.000000,65531.000000,0.000000,-5.000000,65534.000000,0.000000,-2.000000
